,207,206.9758973
,208,207.9766525
Bi,209,208.9803991
Po,209,208.9824308
,210,209.9828741
At,210,209.9871479
,211,210.9874966
Rn,211,210.9906011
,220,220.0113941
,222,222.0175782
Fr,223,223.019736
Ra,223,223.0185023
,224,224.020212
,226,226.0254103
,228,228.0310707
Ac,227,227.0277523
Th,230,230.0331341
,232,232.0380558
Pa,231,231.0358842
U,233,233.0396355
,234,234.0409523
,235,235.0439301
,236,236.0455682
,238,238.0507884
Np,236,236.04657
,237,237.0481736
Pu,238,238.0495601
,239,239.0521636
,240,240.0538138
,241,241.0568517
,242,242.0587428
,244,244.0642053
Am,241,241.0568293
,243,243.0613813
Cm,243,243.0613893
,244,244.0627528
,245,245.0654915
,246,246.0672238
,247,247.0703541
,248,248.0723499
Bk,247,247.0703073
,249,249.0749877
Cf,249,249.0748539
,250,250.0764062
,251,251.0795886
,252,252.0816272
Es,252,252.08298
Fm,257,257.0951061
Md,258,258.0984315
,260,260.10365
No,259,259.10103
Lr,262,262.10961
Rf,267,267.12179
Db,268,268.12567
Sg,271,271.13393
Bh,272,272.13826
Hs,270,270.13429
Mt,276,276.15159
Ds,281,281.16451
Rg,280,280.16514
Cn,285,285.17712
Nh,284,284.17873
Fl,289,289.19042
Mc,288,288.19274
Lv,293,293.20449
Ts,292,292.20746
Og,294,294.21392
